Camera Preset,player,Table,Notable,Chips,updatedAt,Seat
cam1,Player T1-1,T01,True,100000,2025-09-03,1
cam2,Player T1-2,T01,True,200000,2025-09-03,2
cam3,Player T1-3,T01,True,300000,2025-09-03,3
cam4,Player T1-4,T01,False,400000,2025-09-03,4
cam5,Player T1-5,T01,False,500000,2025-09-03,5
,Player T1-6,T01,False,600000,2025-09-03,6
,Player T1-7,T01,False,700000,2025-09-03,7
,Player T1-8,T01,False,800000,2025-09-03,8
,Player T1-9,T01,False,900000,2025-09-03,9
,Player T1-10,T01,False,1000000,2025-09-03,10
,Player T2-1,T02,False,50000,2025-09-03,1
,Player T2-3,T02,False,150000,2025-09-03,3
,Player T2-5,T02,False,250000,2025-09-03,5
,Player T2-7,T02,False,350000,2025-09-03,7
,Player T2-9,T02,False,450000,2025-09-03,9
,Player T3-2,T03,True,150000,2025-09-02,2
,Player T3-4,T03,False,300000,2025-09-02,4
,Player T3-6,T03,False,450000,2025-09-02,6
,Player T3-8,T03,False,600000,2025-09-02,8
